seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
30,0.291810,-1.616453,9.593766,-23.411913,3.078292,8.651880,-9.563936,-1.718009,0.289421,0.996407,-0.083317,-0.015150,0.001267
31,-0.690033,-4.284892,9.120699,-14.284531,-5.718071,-6.255198,-10.385813,-1.684845,0.341667,0.995788,-0.090455,-0.014912,0.001638
32,-0.385982,-4.524599,9.110747,-6.982978,-13.570483,-14.159492,-11.121367,-1.946329,0.076645,0.995151,-0.096875,-0.016969,-0.000980
33,-0.095405,-4.517896,8.719913,-3.979957,-18.265757,-16.715416,-11.686896,-2.489911,-0.312208,0.994559,-0.101845,-0.021337,-0.004922
34,0.179639,-4.631922,8.856517,-3.635097,-18.013979,-19.304911,-12.188343,-3.158002,-0.760533,0.993930,-0.106302,-0.026695,-0.009522
35,0.242126,-4.794478,8.940935,-4.239364,-15.017061,-20.769798,-12.681825,-3.801203,-1.276107,0.993233,-0.110743,-0.031732,-0.014724
36,0.401139,-4.705635,8.505948,-6.477897,-11.093906,-16.556719,-13.223424,-4.327533,-1.762068,0.992457,-0.115621,-0.035731,-0.019610
37,0.528679,-4.519725,8.327919,-9.773896,-4.546160,-9.705316,-13.855597,-4.655007,-2.100121,0.991624,-0.121238,-0.038100,-0.023075
38,0.590236,-4.670277,8.637150,-8.408193,2.103823,-8.045108,-14.504992,-4.741331,-2.348866,0.990835,-0.126949,-0.038439,-0.025536
39,0.443808,-4.871898,8.613874,-4.544549,5.550889,-5.339643,-15.066409,-4.636086,-2.567992,0.990190,-0.131859,-0.037152,-0.027498
40,0.459687,-4.960206,7.964861,-4.044046,6.815880,-1.134192,-15.590613,-4.420000,-2.695110,0.989625,-0.136395,-0.035008,-0.028511
41,0.296327,-5.048331,8.042960,-7.968727,10.275153,-0.829008,-16.194756,-4.103817,-2.772736,0.988984,-0.141582,-0.032032,-0.028980
42,0.133854,-5.203498,8.202088,-11.308976,11.436382,-1.419541,-16.910789,-3.697303,-2.882683,0.988184,-0.147719,-0.028202,-0.029609
43,0.008691,-5.129401,8.273633,-15.201612,9.605273,-1.013645,-17.728218,-3.290861,-3.000955,0.987195,-0.154718,-0.024328,-0.030285
44,0.118905,-4.990368,8.147336,-19.973179,8.067140,-1.494311,-18.662010,-2.948846,-3.112558,0.985964,-0.162714,-0.020979,-0.030961
45,0.264044,-4.863496,8.439963,-23.206617,8.808740,-4.045658,-19.683571,-2.665499,-3.276530,0.984501,-0.171467,-0.018022,-0.032135
