seq,ax,ay,az,wroll,wpitch,wyaw
1,0.037707,-9.987624,-1.115848,-0.884906,-1.368093,-0.683504
2,-0.054957,-9.731929,-0.963427,1.594099,-1.360139,-0.041218
3,0.058637,-9.950861,-0.948693,-1.498516,-0.762086,-0.357185
4,0.028431,-10.166472,-1.146217,2.513402,-1.246287,0.075156
5,-0.027232,-9.650129,-0.808091,9.043033,-1.899102,0.611396
6,0.026297,-9.779874,-0.738092,4.023689,-1.984431,-0.050665
7,0.102683,-9.807879,-0.784737,-0.617097,-1.454466,-0.277768
8,-0.153169,-9.888589,-0.955497,-2.220356,-2.262805,-0.091554
9,-0.104285,-9.904730,-1.037665,0.855892,-2.719945,-0.169727
10,0.009421,-9.851218,-0.717556,3.956740,-2.638155,-0.791420
11,0.045014,-9.834598,-0.547655,1.303234,-2.079377,-0.913064
12,-0.052614,-9.988146,-0.493182,-1.757707,-3.760148,-1.517767
13,0.074287,-9.906168,-0.781694,-1.965743,-3.282660,-1.394214
14,0.140622,-9.848754,-0.965286,-0.897687,-1.935286,-0.676972
15,0.056272,-9.510859,-0.895322,-3.318251,-3.111595,-0.551465
16,0.319020,-9.713142,-1.366655,-10.207804,-1.684855,-0.719317
17,0.063039,-9.160012,-1.279921,-8.628471,-1.486484,0.806609
18,-0.052921,-8.931381,-1.287202,-18.020542,-0.311522,-0.025021
19,-0.220111,-8.086249,-1.637213,-22.224466,-4.385743,-2.611464
20,0.056195,-8.090398,-0.750313,-29.938021,-5.347076,-6.006649
21,0.649396,-8.448831,-0.500256,-36.201946,-1.616188,-3.595686
22,-0.493735,-11.746202,-1.308838,-38.933353,-0.586188,-0.986354
23,-0.327988,-13.463142,-0.959837,-3.508991,-7.582556,-2.123168
24,0.286394,-15.007762,-2.285165,-2.662103,-10.725964,-4.900353
25,0.349690,-14.175735,-2.586455,-4.844176,-13.640481,-2.382576
26,0.568442,-9.903627,-3.598015,-39.146984,-14.357666,4.484089
27,-0.065029,-7.976229,-3.892228,-91.608299,-7.353668,6.658533
28,-0.436574,-6.364763,-3.016027,-99.390518,0.558255,6.345718
29,-0.395927,-5.927774,-1.852696,-85.840302,5.624328,2.157053
30,-0.047853,-5.587749,-1.121582,-59.777493,4.449366,3.484608
31,0.721239,-6.080724,-2.424424,-30.037207,5.883735,4.911348
32,-0.065800,-7.190182,-3.480425,12.917597,5.731144,4.407793
33,-0.936593,-8.648447,-3.876324,48.486916,1.283071,7.589347
34,-1.457406,-11.647302,-3.085297,70.391579,-6.720409,11.984014
35,-0.114665,-16.455179,-3.675954,66.347878,4.388329,-14.841757
36,-0.441391,-10.304052,-5.149048,35.196106,22.310324,-5.442056
37,0.357288,-10.833234,-0.819368,-8.727655,25.720768,-3.954279
38,2.221644,-10.068414,-3.007821,17.449596,22.699434,-2.947168
39,0.190457,-7.697918,-2.184271,23.141296,23.653137,-12.514721
40,0.193537,-8.359091,-2.253563,3.021969,27.193285,-7.608871
41,0.998923,-10.000288,-2.685420,-4.180399,9.271291,-5.999019
42,1.820305,-10.167073,-2.189666,-2.883362,-0.998188,-6.555982
44,0.678711,-8.798380,-1.861864,-6.637138,5.204699,9.580680
45,0.152050,-8.855651,-2.356264,-9.566916,4.350181,17.095863
46,-0.525403,-10.360413,-4.392039,-12.435656,-4.874039,23.436083
47,-0.724280,-10.441829,-5.456679,-3.829436,-11.061667,23.565786
48,-1.672093,-8.925893,-2.747348,2.075895,-19.614479,24.603416
49,-0.343433,-9.211578,-1.493911,7.248784,-37.185509,17.835938
50,-0.166874,-10.161509,-1.571867,17.838705,-31.463287,11.083717
51,-0.687029,-10.506781,-1.497962,2.760548,-5.112742,8.941890
52,-0.723164,-10.052691,-2.900686,0.769216,10.238068,7.164188
53,-1.595464,-9.024429,-2.032949,26.694691,6.842884,2.708485
54,-2.139148,-9.259632,-1.966071,29.044615,4.340367,-1.792995
