seq,ax,ay,az,wroll,wpitch,wyaw
1,1.536928,-2.141557,-9.278609,1.548945,-1.223130,2.910051
2,1.511003,-2.239805,-9.238276,0.642143,0.794675,3.124587
3,1.305243,-2.211066,-9.366934,0.871994,0.835038,2.660555
4,1.529950,-2.085203,-9.195335,2.009367,0.593657,1.414751
5,1.470732,-2.232113,-9.095367,1.397410,-0.680321,1.036293
6,1.503092,-2.176122,-9.378523,1.204007,-0.849884,0.685000
7,1.442539,-2.160533,-9.107455,-0.097359,1.709146,0.411640
8,1.232902,-2.234144,-9.233153,-0.773081,-0.081068,0.545735
9,1.387435,-2.204830,-9.154174,-1.264302,-0.580216,-0.638117
10,1.185178,-2.057476,-9.031034,-3.281733,-0.206979,-1.583911
11,1.424989,-1.333809,-8.952293,-4.443419,-2.030308,-0.978522
12,1.010643,-1.077144,-8.302674,-11.722082,-4.204752,1.783403
13,-0.382970,-0.707341,-8.353965,-22.464598,-14.687860,2.607403
14,0.178296,-1.191373,-8.471417,-31.498075,-27.910004,3.042291
15,0.856710,-0.925583,-8.583649,-42.706001,-44.023777,5.071772
16,1.478664,-1.098224,-8.274966,-49.015705,-54.293255,6.055994
17,-0.321458,-1.302979,-8.803159,-55.767925,-54.277996,13.777178
18,-0.007668,-0.610462,-9.621838,-45.635780,-54.407700,13.342289
19,-0.757503,-0.667552,-10.483032,-49.542149,-61.014957,16.684065
20,-0.327773,0.001630,-10.070927,-43.438446,-70.880066,16.157621
21,-0.759669,-0.994069,-10.739194,-34.763561,-67.912140,17.164732
22,-1.115577,-1.035316,-11.043065,-30.819040,-71.757469,20.666731
23,0.150722,-0.897595,-10.342474,-26.851633,-58.794735,23.649916
24,-1.539519,-0.171031,-10.085911,-18.222525,-43.070072,25.206360
25,-2.715524,-0.100792,-10.819376,-2.680975,-35.959263,26.907766
26,-1.918448,0.268499,-10.064173,6.688208,-29.428301,24.374729
27,-1.291003,0.718629,-10.585399,7.664800,-16.992006,23.833027
28,-2.830393,-0.068849,-10.675150,16.042131,-4.426012,17.996361
29,-3.184051,0.506842,-9.167673,22.466278,-0.618827,8.459327
30,-0.047480,0.325907,-9.903123,22.489166,-5.555196,8.581401
31,0.974554,1.253345,-9.370331,33.933605,14.716723,0.715255
32,-1.383878,-0.072769,-7.302092,51.008713,41.084717,-17.572962
33,-4.682674,-0.745679,-9.932532,49.925304,24.772573,-20.434072
34,-0.972974,-0.689598,-9.211454,41.883678,-14.916750,-14.803406
35,-2.969803,-1.003283,-7.082755,29.012497,0.762135,-5.312150
36,-1.249168,-2.039187,-7.210335,31.637089,1.364876,-4.610225
37,-2.534205,-1.139120,-6.910562,34.460049,17.066648,2.172514
38,-2.317142,-0.152721,-7.251292,27.753609,20.217686,6.658735
39,-1.912816,-0.378838,-7.797732,13.623539,32.600571,13.342289
40,-0.490934,0.614084,-7.077360,1.995987,59.632339,19.682508
41,-0.375980,-0.778940,-4.381233,-5.679419,84.947441,20.933767
42,-0.448997,0.718567,-5.869236,-17.665564,89.799889,15.318362
43,-2.924786,1.665259,-9.566973,-45.353481,63.134338,5.430365
44,-0.750728,2.622209,-12.994369,-76.581551,30.006496,-15.795258
45,1.433630,0.278735,-12.923695,-97.631691,3.836875,-34.854069
46,0.720451,-0.575273,-12.378050,-112.234795,5.515393,-50.265915
47,-1.593838,1.162150,-11.618398,-112.272942,-12.231121,-55.583763
48,1.086681,1.290498,-10.651554,-114.912796,-23.210154,-48.884953
49,0.050643,1.556915,-10.915257,-108.015610,-17.823637,-41.117992
50,-0.688220,1.796144,-9.416317,-104.078728,-25.460894,-35.998512
51,0.476712,2.505742,-8.947961,-94.953690,-22.454821,-21.029182
52,-0.918977,4.254126,-9.517949,-85.668434,-22.065710,-10.675778
53,-0.558081,5.211339,-9.886569,-85.317467,-20.387192,-10.073038
54,-0.269670,5.665130,-8.892029,-90.650581,-20.082006,-2.740966
55,-1.304684,4.485090,-7.781767,-73.193993,-18.388229,15.898212
56,-1.797935,5.501090,-7.155759,-46.314816,-22.546375,9.168882
57,-0.952274,5.760754,-8.336044,-23.555635,-27.520893,1.935995
58,-1.742229,6.141690,-7.958645,-6.114306,-23.561117,4.919180
59,-1.141245,6.004853,-7.445196,-12.042528,-34.517262,3.171995
60,-0.876905,5.283371,-7.315306,-0.788827,-35.219189,3.446662
61,-1.368555,6.832585,-7.714768,9.625613,-31.984222,3.133847
62,-2.346073,6.067692,-8.733721,9.877391,-27.253857,2.462439
63,-1.723285,6.030075,-8.392200,3.583558,4.072682,-2.171439
64,-1.869022,3.888079,-8.521645,-1.581699,47.042744,11.981521
