seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
2814,0.000944,0.000879,0.045187,-1.289276,-1.644837,-0.134944,1.114742,-1.196977,0.000000
2815,-0.019340,-0.023137,0.071843,-0.781096,-1.536700,-0.092145,1.033095,-1.209616,-0.004817
2816,-0.000917,-0.005957,0.060487,-0.207767,-1.194783,-0.062580,1.003105,-1.250759,-0.008270
2817,-0.010150,0.008788,0.077630,0.128393,-0.519676,-0.106805,1.016175,-1.256376,-0.011629
2818,-0.034545,-0.042212,0.081322,0.247364,-0.429995,-0.083066,0.938394,-1.202157,-0.015088
2819,-0.060279,-0.079816,0.101361,0.817807,-0.103007,-0.068535,0.799597,-1.091109,-0.017780
2821,-0.058171,-0.150049,0.114283,1.021237,0.163080,-0.082523,0.539323,-0.974356,-0.020278
2822,-0.082888,-0.035545,0.107254,1.436430,0.249239,-0.072439,0.510008,-0.804876,-0.022728
2823,-0.083923,-0.041720,0.100654,0.453618,-0.046732,-0.006600,0.459544,-0.637548,-0.023981
2824,-0.059822,-0.025553,0.101902,0.174561,-0.031917,-0.019667,0.419328,-0.521760,-0.024445
2825,-0.044417,-0.023980,0.093435,-0.180950,-0.032346,-0.014594,0.371796,-0.435771,-0.025039
2826,-0.042416,0.026223,0.084238,-0.375740,-0.010623,-0.000833,0.411985,-0.353579,-0.025311
2827,-0.022358,-0.106807,0.110166,-1.005438,0.008912,-0.011137,0.182592,-0.309400,-0.025511
2828,-0.020313,-0.122209,0.114598,-0.286183,0.002716,-0.037338,-0.073887,-0.269060,-0.026315
2829,-0.021240,-0.097556,0.116468,-0.182343,-0.010656,-0.042017,-0.268386,-0.227418,-0.027640
2830,-0.009185,-0.072058,0.116281,-0.146847,-0.020638,-0.039164,-0.410938,-0.209443,-0.029004
2831,-0.008710,-0.046733,0.113800,-0.125798,-0.030293,-0.036404,-0.503514,-0.192792,-0.030280
2832,-0.012701,-0.037295,0.112082,-0.124626,-0.041107,-0.038162,-0.577314,-0.168898,-0.031546
2833,-0.003298,-0.026674,0.114371,-0.111685,-0.045663,-0.036911,-0.630173,-0.163377,-0.032826
2834,0.000127,-0.024272,0.111531,-0.102119,-0.036787,-0.038653,-0.677926,-0.164391,-0.034113
2835,-0.000817,-0.017452,0.112665,-0.113530,-0.037057,-0.037386,-0.712417,-0.163444,-0.035404
2836,0.006465,-0.012465,0.109281,-0.098001,-0.034366,-0.045015,-0.737237,-0.176453,-0.036801
2837,0.011712,-0.006917,0.110448,-0.090361,-0.030287,-0.049443,-0.750904,-0.199365,-0.038396
2838,0.001615,-0.009837,0.103826,-0.071163,-0.023391,-0.055202,-0.769857,-0.202685,-0.040158
2839,0.003041,-0.011031,0.106463,-0.055547,-0.019672,-0.044537,-0.790385,-0.208535,-0.041834
2840,0.004238,-0.010390,0.108736,-0.062582,-0.001316,-0.054884,-0.809400,-0.216279,-0.043498
2841,-0.001092,-0.008815,0.114573,-0.054626,-0.001273,-0.039802,-0.825139,-0.213420,-0.045077
2842,-0.004753,-0.006100,0.111601,-0.057263,0.004672,-0.029642,-0.835609,-0.203464,-0.046233
