seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-1.082613,-0.874377,9.755392,1.177470,0.829616,1.157671,-5.121742,6.307457,0.000000
2,-1.119565,-0.836574,9.712425,1.367633,-0.865349,2.005257,-5.068496,6.292256,0.066842
3,-1.087595,-0.956959,9.685420,0.791472,-1.383062,1.474609,-5.072145,6.252658,0.115996
4,-0.913221,-0.914480,9.635947,0.212062,-1.913321,1.027773,-5.082888,6.148927,0.150255
5,-1.091023,-0.939076,9.888049,-0.070234,-0.189025,2.652883,-5.102225,6.148916,0.238684
6,-1.109030,-0.979099,9.667132,-0.053173,-1.607071,1.540161,-5.137961,6.116151,0.290023
7,-0.956642,-0.974301,9.520211,-0.518580,-1.423960,0.128680,-5.189651,6.050677,0.294312
8,-1.047562,-1.000859,9.677163,-0.854282,0.269817,0.540680,-5.252461,6.063974,0.312335
9,-1.102935,-0.944212,9.752629,-0.587247,0.109595,1.212087,-5.284930,6.085368,0.352738
10,-1.063925,-1.057326,9.847875,-0.823764,-0.973812,0.098162,-5.353177,6.056818,0.356010
11,-0.890700,-0.933956,9.840329,-1.342579,-2.247960,-1.870282,-5.399121,5.940244,0.293667
12,-0.371781,-0.647239,9.811592,-3.654356,1.162484,1.166310,-5.433593,5.788309,0.332544
13,-0.489362,-0.293660,9.393220,-3.532283,2.375594,12.366603,-5.457319,5.795329,0.744764
14,-0.318892,-0.654138,9.327965,-1.968209,8.494555,24.261192,-5.485138,5.975349,1.553471
15,-1.179981,0.125124,10.220301,-0.083691,4.939149,31.043930,-5.350729,6.151123,2.588268
16,-1.051812,0.465257,9.587535,-3.372061,-2.553145,48.340294,-5.257098,6.070702,4.199612
17,-0.987450,-0.954480,10.334896,-6.317097,-7.642106,61.341179,-5.462891,5.806435,6.244318
18,-0.905225,-1.547944,8.675634,-11.055095,-22.779287,74.998215,-5.938521,5.067567,8.744259
19,-3.106337,-0.512712,8.072122,-8.407614,0.605521,78.309471,-6.154164,5.485789,11.354574
20,-1.526107,-1.359773,10.757676,-12.085094,11.302259,67.360962,-6.573176,5.916251,13.599939
21,-0.440305,-0.488571,10.157199,-17.433462,8.166481,71.961624,-7.044281,6.095737,15.998660
22,-0.268678,-0.988293,10.322238,-20.882053,9.066778,86.847031,-7.683567,6.275121,18.893562
23,-1.777576,-1.698032,9.046316,-26.276201,15.445147,96.948654,-8.611228,6.893476,22.125185
24,-1.475186,-1.501389,8.226221,-23.315905,18.863220,96.551910,-9.412298,7.584314,25.343582
25,-1.592870,-1.407882,8.835616,-18.135387,21.289440,95.582947,-9.992729,8.338982,28.529680
26,-2.293537,-1.421399,9.242733,-13.794131,22.227884,96.620583,-10.409790,9.197425,31.750366
27,-1.955319,-1.492506,9.670197,-8.010874,17.657738,98.947617,-10.629245,9.823887,35.048622
28,-1.878518,-1.285517,10.107569,0.793716,11.332777,102.182579,-10.518923,10.207759,38.454708
29,-2.910469,-1.055171,10.339823,7.721418,5.313001,99.756355,-10.150675,10.516330,41.779919
30,-3.677757,-0.517550,8.744481,5.531715,15.437517,81.689400,-9.801806,11.324513,44.502899
31,-2.049112,-0.122210,9.629811,4.104974,15.513813,74.044510,-9.423350,11.845894,46.971050
32,-2.825609,-0.277762,9.861861,-3.295763,14.521961,77.081100,-9.335212,12.421260,49.540421
33,-3.272695,0.772737,9.558232,-7.156355,4.527149,79.987991,-9.218863,12.728957,52.206688
34,-3.053265,0.862234,9.319768,-7.507318,-1.301886,75.791695,-9.100235,12.820105,54.733078
35,-2.589468,0.297023,9.026001,-10.009837,-5.414255,67.864517,-9.150929,12.723624,56.995228
36,-2.567792,0.149441,9.404443,-12.313983,-4.460552,62.477993,-9.322361,12.642315,59.077827
37,-2.510103,0.396009,9.286352,-11.970650,-9.000180,53.528442,-9.417302,12.411564,60.862110
38,-2.880452,-0.122771,8.707556,-12.306354,-8.954403,41.488888,-9.581826,12.267818,62.245071
39,-3.694427,-0.798983,8.691912,-9.712280,-3.369515,31.074450,-9.789230,12.425136,63.280888
40,-2.873880,-0.913847,8.570245,-8.453392,2.543446,23.917858,-9.971396,12.658183,64.078148
41,-2.177110,-0.068163,10.296356,-6.027171,6.350630,22.147785,-9.917994,12.846594,64.816406
42,-3.339743,1.152814,12.226819,2.136530,12.423815,20.537933,-9.465952,13.309535,65.501007
43,-4.719897,0.969423,12.817569,13.580972,17.779812,21.316156,-8.679792,14.058706,66.211548
44,-4.751234,0.850799,10.792111,20.501045,22.899292,27.381710,-7.683824,15.043869,67.124275
45,-3.926611,0.734450,7.478935,17.708601,56.706173,37.696964,-6.775984,17.200411,68.380844
46,-3.877719,2.077209,6.932218,17.082972,87.812157,48.073257,-5.634372,20.328897,69.983284
47,-3.564333,3.719316,5.824119,11.078454,85.813194,74.998215,-4.319400,23.291712,72.483223
48,-3.394960,-1.988502,6.258133,17.090601,70.706535,84.497101,-4.096658,25.690872,75.299789
49,-1.971135,-1.879141,6.425634,4.616160,54.211285,58.594513,-4.251748,27.220617,77.252937
50,-3.317067,-0.512406,7.926418,2.571419,27.820400,30.197042,-4.154352,28.010914,78.259506
51,-4.107082,0.383064,8.130164,7.927417,-19.826622,7.453123,-3.725413,27.335672,78.507942
52,-5.679608,2.712294,8.214617,0.602975,-21.833214,-2.236504,-3.155877,26.774864,78.433395
53,-5.391411,2.749077,8.980639,-7.606503,-15.409067,-6.928725,-2.898693,26.351141,78.202438
54,-4.449586,1.378404,9.698119,-1.487542,-8.557662,-19.754128,-2.672337,26.024981,77.543968
55,-5.861792,1.627282,11.364425,-0.655913,-1.988552,-35.402496,-2.423125,25.985943,76.363884
56,-6.164255,1.273589,10.000345,-7.499688,-12.425882,-44.535160,-2.424842,25.718561,74.879379
57,-3.809284,0.898883,7.794071,-8.262651,-23.443064,-46.480717,-2.468287,24.961140,73.330025
58,-3.518044,1.571273,7.517423,-10.147169,-15.836327,-44.680122,-2.441216,24.437727,71.840691
59,-4.800565,1.941512,8.668899,-15.678649,-5.017515,-40.941605,-2.574147,24.373365,70.475967
60,-4.372209,1.334299,8.487720,-21.370350,-8.656847,-37.576939,-2.980980,24.156942,69.223404
61,-4.372083,0.540858,8.399940,-23.567682,-12.235142,-34.082569,-3.580303,23.841578,68.087318
62,-3.880422,0.058689,8.720372,-26.405905,-5.147218,-29.062273,-4.348988,23.677950,67.118576
63,-5.122781,-1.126379,10.138744,-29.404348,-0.790701,-31.473234,-5.354389,23.726923,66.069466
