seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
2874,0.047173,-0.089431,9.914555,0.009777,-0.131702,-0.076029,-0.516804,-0.272596,0.002459,0.999987,-0.004510,-0.002379,0.000011
2876,0.031015,-0.139438,9.917021,-1.026300,0.254801,-0.078124,-0.533734,-0.270568,-0.000129,0.999986,-0.004658,-0.002361,-0.000012
2877,0.030694,-0.126632,9.918430,-0.692685,0.249775,-0.070415,-0.562372,-0.262183,-0.002685,0.999985,-0.004908,-0.002288,-0.000035
2878,0.035469,-0.132600,9.917326,-0.719630,0.136078,-0.082175,-0.585898,-0.255778,-0.005292,0.999985,-0.005113,-0.002232,-0.000058
2879,0.039186,-0.134495,9.919206,-0.663006,0.043273,-0.078789,-0.608930,-0.252816,-0.008006,0.999983,-0.005314,-0.002206,-0.000082
2880,0.034431,-0.134720,9.916589,-0.593888,0.138028,-0.070574,-0.629867,-0.249822,-0.010528,0.999983,-0.005497,-0.002180,-0.000104
2881,0.033081,-0.126697,9.919317,-0.345576,0.162700,-0.060698,-0.645516,-0.244834,-0.012772,0.999982,-0.005633,-0.002136,-0.000123
2882,0.024376,-0.132432,9.921824,-0.430542,0.322908,-0.067782,-0.658442,-0.236766,-0.015005,0.999981,-0.005746,-0.002065,-0.000143
2883,0.027583,-0.122359,9.922340,-0.178625,0.222327,-0.063751,-0.668585,-0.227705,-0.017302,0.999981,-0.005835,-0.001986,-0.000163
2884,0.028655,-0.121641,9.922117,-0.139378,0.176617,-0.066077,-0.673876,-0.221081,-0.019543,0.999981,-0.005881,-0.001928,-0.000182
2885,0.025082,-0.127731,9.926526,-0.229075,0.209125,-0.074246,-0.680008,-0.214680,-0.021958,0.999981,-0.005935,-0.001872,-0.000203
2886,0.030965,-0.126468,9.924581,-0.185695,0.066284,-0.083724,-0.686911,-0.210122,-0.024645,0.999980,-0.005995,-0.001832,-0.000226
2887,0.033434,-0.128536,9.921618,-0.187337,0.000268,-0.067661,-0.693119,-0.209043,-0.027182,0.999980,-0.006049,-0.001823,-0.000248
2888,0.030230,-0.138381,9.920619,-0.354213,0.061196,-0.063222,-0.702137,-0.208045,-0.029375,0.999980,-0.006128,-0.001814,-0.000267
2889,0.030304,-0.141535,9.918579,-0.390107,0.046949,-0.070782,-0.714534,-0.206271,-0.031631,0.999979,-0.006236,-0.001798,-0.000287
2890,0.034246,-0.140067,9.918044,-0.317265,-0.029812,-0.070576,-0.726315,-0.206015,-0.033990,0.999978,-0.006339,-0.001796,-0.000308
2891,0.027684,-0.146910,9.922762,-0.417601,0.099178,-0.070080,-0.738554,-0.204889,-0.036349,0.999978,-0.006446,-0.001786,-0.000329
2892,0.028920,-0.142686,9.924341,-0.292078,0.070387,-0.070884,-0.750373,-0.202093,-0.038735,0.999977,-0.006549,-0.001761,-0.000350
2893,0.026944,-0.139459,9.925261,-0.195987,0.096027,-0.072378,-0.758499,-0.199351,-0.041159,0.999977,-0.006620,-0.001737,-0.000371
2894,0.023867,-0.139074,9.922071,-0.165283,0.149997,-0.062638,-0.764513,-0.195281,-0.043464,0.999976,-0.006672,-0.001702,-0.000391
2895,0.020936,-0.134133,9.920922,-0.035570,0.193453,-0.059385,-0.767853,-0.189585,-0.045574,0.999976,-0.006701,-0.001652,-0.000409
2896,0.023756,-0.135613,9.917964,-0.043933,0.113373,-0.064921,-0.769171,-0.184499,-0.047714,0.999976,-0.006713,-0.001607,-0.000427
2897,0.019980,-0.137563,9.915611,-0.080941,0.179483,-0.079281,-0.771245,-0.179651,-0.050183,0.999976,-0.006731,-0.001565,-0.000448
2898,0.022950,-0.144487,9.915922,-0.190735,0.105566,-0.081426,-0.775764,-0.174937,-0.052925,0.999976,-0.006770,-0.001523,-0.000472
2899,0.027673,-0.147195,9.915291,-0.225328,-0.006443,-0.082828,-0.782690,-0.173322,-0.055685,0.999975,-0.006831,-0.001509,-0.000496
2900,0.026936,-0.148587,9.917932,-0.226959,-0.004664,-0.090321,-0.790219,-0.173547,-0.058568,0.999975,-0.006897,-0.001511,-0.000522
2901,0.027515,-0.150243,9.912523,-0.252575,-0.012822,-0.082810,-0.798203,-0.173878,-0.061449,0.999974,-0.006966,-0.001514,-0.000547
2902,0.035294,-0.145985,9.917715,-0.135480,-0.179314,-0.074641,-0.804663,-0.177117,-0.064028,0.999974,-0.007023,-0.001542,-0.000570
2903,0.037506,-0.141288,9.917624,-0.031698,-0.212726,-0.075476,-0.807441,-0.183686,-0.066438,0.999974,-0.007047,-0.001599,-0.000591
2904,0.032968,-0.132135,9.924268,0.170968,-0.097568,-0.068383,-0.805113,-0.188890,-0.068763,0.999974,-0.007027,-0.001644,-0.000612
2905,0.035304,-0.135817,9.923837,0.070022,-0.114377,-0.054797,-0.801089,-0.192451,-0.070766,0.999974,-0.006992,-0.001675,-0.000629
2906,0.035511,-0.131116,9.929976,0.163259,-0.091930,-0.053428,-0.797195,-0.195915,-0.072522,0.999974,-0.006958,-0.001705,-0.000645
2907,0.026456,-0.132586,9.927526,0.120841,0.109001,-0.055151,-0.792454,-0.195655,-0.074335,0.999974,-0.006917,-0.001703,-0.000660
2908,0.026062,-0.129456,9.926787,0.161188,0.122145,-0.059802,-0.787747,-0.191829,-0.076304,0.999975,-0.006875,-0.001669,-0.000677
2909,0.028944,-0.132583,9.921063,0.084611,0.050232,-0.071202,-0.783643,-0.188987,-0.078527,0.999975,-0.006840,-0.001644,-0.000697
2910,0.027291,-0.126674,9.921864,0.194473,0.069174,-0.084965,-0.778983,-0.187032,-0.081157,0.999975,-0.006799,-0.001627,-0.000719
2911,0.024856,-0.124737,9.922538,0.225145,0.096340,-0.096672,-0.771979,-0.184315,-0.084221,0.999976,-0.006738,-0.001603,-0.000746
2912,0.028028,-0.129674,9.923571,0.108803,0.016711,-0.101851,-0.766403,-0.182475,-0.087555,0.999976,-0.006689,-0.001587,-0.000775
2913,0.023857,-0.138954,9.922673,-0.090838,0.086891,-0.094051,-0.766093,-0.180792,-0.090843,0.999976,-0.006687,-0.001572,-0.000803
2914,0.019521,-0.139835,9.925007,-0.125870,0.177900,-0.099008,-0.769695,-0.176423,-0.094119,0.999976,-0.006718,-0.001534,-0.000832
2915,0.029047,-0.141184,9.922411,-0.142816,-0.020799,-0.091067,-0.774163,-0.173847,-0.097322,0.999976,-0.006757,-0.001511,-0.000860
2916,0.027581,-0.144262,9.918897,-0.210276,0.011828,-0.084548,-0.780039,-0.174037,-0.100247,0.999975,-0.006808,-0.001513,-0.000885
2917,0.028199,-0.150039,9.923381,-0.311262,0.003317,-0.079833,-0.788723,-0.173822,-0.102990,0.999975,-0.006884,-0.001511,-0.000909
2918,0.033535,-0.143667,9.921173,-0.152818,-0.100818,-0.078754,-0.796450,-0.175483,-0.105610,0.999974,-0.006952,-0.001525,-0.000932
2919,0.031358,-0.142544,9.921372,-0.096942,-0.058634,-0.070589,-0.800605,-0.178175,-0.108062,0.999974,-0.006988,-0.001548,-0.000954
2920,0.023190,-0.143153,9.923154,-0.088100,0.106790,-0.063578,-0.803682,-0.177404,-0.110309,0.999974,-0.007015,-0.001541,-0.000973
2921,0.027332,-0.146111,9.921428,-0.110164,0.011173,-0.069207,-0.806979,-0.175469,-0.112549,0.999974,-0.007044,-0.001524,-0.000993
2922,0.028470,-0.142073,9.913125,-0.034705,-0.023644,-0.066861,-0.809387,-0.175709,-0.114814,0.999973,-0.007065,-0.001526,-0.001013
2923,0.023357,-0.132596,9.917709,0.169697,0.080844,-0.067525,-0.807130,-0.174787,-0.117067,0.999974,-0.007045,-0.001518,-0.001032
2924,0.025995,-0.140118,9.916690,0.007931,0.021203,-0.073941,-0.804162,-0.173120,-0.119449,0.999974,-0.007019,-0.001503,-0.001053
2925,0.029365,-0.142372,9.917961,-0.047664,-0.049629,-0.087023,-0.804817,-0.173631,-0.122125,0.999974,-0.007025,-0.001508,-0.001076
