seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
0,-0.239313,-0.112387,9.891134,-0.698763,0.694165,0.025278,0.000000,1.385894,0.000000
1,-0.290891,-0.125482,9.885468,-0.465924,0.686476,0.183523,-0.018441,1.422728,0.003480
2,-0.295979,-0.127215,9.902380,-0.169299,0.806866,-0.089702,-0.027577,1.460831,0.005044
3,-0.303419,-0.125392,9.904473,-0.242156,0.825267,-0.114098,-0.032713,1.501359,0.001647
4,-0.307838,-0.123701,9.897042,-0.402397,0.702132,0.030414,-0.041282,1.539546,0.000252
5,-0.325893,-0.124502,9.909390,-0.176675,0.723390,0.042700,-0.048387,1.579313,0.001471
7,-0.334241,-0.124559,9.913750,-0.201877,0.630307,0.011783,-0.051961,1.618323,0.002379
8,-0.342235,-0.121603,9.910341,-0.397457,0.503379,0.089619,-0.058852,1.654241,0.004069
9,-0.349014,-0.122763,9.919897,-0.216174,0.509014,0.037976,-0.065626,1.688301,0.006196
10,-0.357499,-0.130602,9.916564,0.035912,0.498231,-0.076913,-0.065198,1.723058,0.005547
11,-0.360738,-0.125115,9.900807,0.036211,0.292982,-0.252975,-0.060796,1.753758,0.000048
12,-0.356067,-0.122017,9.911826,0.188517,0.317322,-0.378989,-0.054198,1.778594,-0.010484
14,-0.351554,-0.122381,9.907001,0.408149,0.240504,-0.345901,-0.042041,1.800104,-0.022566
15,-0.342872,-0.122355,9.917224,0.425763,0.055511,-0.338989,-0.026736,1.813784,-0.033981
16,-0.346602,-0.112566,9.926575,0.348341,-0.114561,-0.352966,-0.013142,1.822141,-0.045513
17,-0.345311,-0.114270,9.923470,0.267554,-0.212643,-0.283835,-0.002733,1.825494,-0.056127
18,-0.338978,-0.109457,9.926862,0.242547,-0.303081,-0.228776,0.005480,1.823835,-0.064670
19,-0.349360,-0.105917,9.933329,0.241975,-0.356609,-0.274409,0.012878,1.822907,-0.073056
21,-0.355665,-0.099439,9.914428,0.262084,-0.486604,-0.327400,0.020215,1.821131,-0.083087
22,-0.343577,-0.097426,9.934608,0.305149,-0.410139,-0.322570,0.028185,1.814908,-0.093919
23,-0.352009,-0.094545,9.951927,0.135748,-0.288953,-0.170309,0.033757,1.814377,-0.102134
24,-0.357961,-0.099405,9.919132,0.116538,-0.365082,-0.113069,0.036063,1.816637,-0.106857
25,-0.351146,-0.100163,9.909490,0.266211,-0.435763,-0.192012,0.040320,1.814592,-0.111942
26,-0.351114,-0.099096,9.917182,0.521670,-0.421477,-0.266892,0.050779,1.811669,-0.119590
27,-0.351806,-0.097093,9.889793,0.637399,-0.711695,-0.299467,0.066592,1.805003,-0.129029
28,-0.344502,-0.096671,9.886877,0.715387,-0.921555,-0.235041,0.084681,1.788670,-0.137938
29,-0.333386,-0.087772,9.903319,0.858711,-0.968090,-0.286372,0.105370,1.765717,-0.146628
30,-0.320855,-0.071075,9.927328,0.867457,-0.908310,-0.223851,0.127433,1.740278,-0.155132
31,-0.298837,-0.066587,9.925991,0.521699,-0.801785,0.164270,0.143056,1.712408,-0.156125
32,-0.307067,-0.059901,9.949387,0.427849,-0.388814,0.353703,0.150938,1.696322,-0.147492
33,-0.304023,-0.059067,9.937434,0.502377,-0.110405,0.237319,0.158120,1.691217,-0.137642
34,-0.297731,-0.054341,9.934683,0.218769,0.166256,0.412550,0.161632,1.693368,-0.126811
35,-0.306391,-0.060685,9.944097,-0.086535,0.423516,0.661735,0.155644,1.706276,-0.108906
36,-0.330845,-0.055582,9.922371,-0.092553,0.514420,0.459981,0.145026,1.731298,-0.090210
37,-0.314187,-0.056175,9.906075,-0.200212,0.417857,0.400624,0.133139,1.750323,-0.075867
38,-0.317571,-0.049757,9.922596,-0.313196,0.351025,0.586736,0.118353,1.766636,-0.059411
39,-0.333089,-0.053064,9.924620,-0.202567,0.228825,0.462712,0.104269,1.783595,-0.041920
40,-0.330528,-0.053146,9.890634,-0.055715,-0.000062,0.153838,0.094966,1.793736,-0.031644
41,-0.315688,-0.043943,9.907906,0.046472,0.005844,0.123705,0.090071,1.795388,-0.027019
42,-0.327923,-0.045655,9.934837,0.050852,0.079447,0.261336,0.087109,1.801493,-0.020601
43,-0.327586,-0.052291,9.931462,0.022619,0.132927,0.212919,0.083917,1.809239,-0.012697
44,-0.313607,-0.046316,9.933128,-0.150803,0.122666,0.238408,0.077691,1.813239,-0.005175
45,-0.316061,-0.040634,9.930501,-0.423328,0.114216,0.375231,0.064716,1.817475,0.005052
46,-0.334462,-0.045549,9.931958,-0.670684,0.098665,0.500188,0.044159,1.826407,0.019643
47,-0.339138,-0.048154,9.904782,-0.735775,0.079195,0.376049,0.019682,1.835953,0.034247
48,-0.334345,-0.049162,9.905030,-0.704274,0.039702,0.244173,-0.004103,1.842702,0.044584
49,-0.343771,-0.047301,9.910441,-0.611818,0.014786,0.110716,-0.024736,1.850762,0.050498
50,-0.339481,-0.052266,9.911124,-0.484019,0.085144,0.114466,-0.040850,1.857892,0.054251
51,-0.345923,-0.063178,9.908807,-0.373693,0.083829,0.134328,-0.052388,1.867642,0.058398
52,-0.334528,-0.059915,9.916312,-0.364394,0.070749,0.121068,-0.061455,1.873313,0.062655
53,-0.328017,-0.056088,9.909119,-0.302267,0.248489,0.151045,-0.068937,1.879497,0.067190
54,-0.326733,-0.065172,9.918198,-0.125581,0.426306,0.264165,-0.072265,1.890545,0.074110
55,-0.339416,-0.071593,9.917620,-0.124416,0.381337,0.255505,-0.072610,1.906808,0.082771
56,-0.337195,-0.071910,9.901353,-0.102626,0.209438,0.160050,-0.072574,1.918342,0.089697
57,-0.325563,-0.075621,9.890066,0.091130,-0.045380,0.010165,-0.069127,1.919290,0.092534
58,-0.333661,-0.071769,9.907849,0.018775,-0.535367,0.012784,-0.063931,1.910567,0.092917
59,-0.327878,-0.056041,9.929361,-0.153045,-0.821851,-0.024533,-0.062861,1.888112,0.092721
60,-0.306548,-0.052290,9.944548,-0.224775,-0.721112,-0.051771,-0.065700,1.857556,0.091449
61,-0.284567,-0.054746,9.952374,-0.518489,-0.529219,0.023721,-0.074183,1.826769,0.090981
62,-0.282550,-0.047398,9.961393,-0.665316,-0.103045,0.025896,-0.089217,1.806656,0.091808
63,-0.275878,-0.050085,9.942628,-0.299619,0.608765,-0.126971,-0.100034,1.803798,0.090124
