seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-1.083835,-0.867660,9.882708,1.162866,0.831498,1.154463,-5.017462,6.234815,0.000000
2,-1.102094,-0.848743,9.861018,1.258187,-0.016015,1.578309,-4.974224,6.253674,0.045546
3,-1.097583,-0.882571,9.844851,1.098061,-0.471111,1.542742,-4.944343,6.250093,0.097564
4,-1.051975,-0.888863,9.823972,0.873258,-0.831237,1.413274,-4.924412,6.221338,0.146831
5,-1.060125,-0.897576,9.862589,0.682464,-0.701226,1.643240,-4.913563,6.191511,0.197773
6,-1.065317,-0.918516,9.844906,0.437229,-1.187422,1.703013,-4.916666,6.159504,0.253543
7,-1.032820,-0.946054,9.806046,0.064251,-1.288704,1.310676,-4.938425,6.111569,0.303772
8,-1.024866,-0.954836,9.804379,-0.255174,-0.949800,1.103882,-4.972648,6.067529,0.344014
9,-1.062645,-0.960789,9.828193,-0.401778,-0.537879,1.113445,-5.013587,6.047694,0.380970
10,-1.057244,-0.984440,9.820174,-0.534720,-0.682595,0.592847,-5.063965,6.031705,0.409408
11,-1.014000,-0.975431,9.854856,-0.766616,-0.784192,-0.086316,-5.114007,5.999211,0.417850
12,-0.898004,-0.910045,9.912686,-1.348079,-0.258153,0.117237,-5.154059,5.940487,0.418365
13,-0.786825,-0.768567,9.853948,-1.843539,0.173876,2.481414,-5.169880,5.869706,0.461676
14,-0.630720,-0.710522,9.766973,-2.083214,1.862744,7.097500,-5.181599,5.792724,0.621325
15,-0.653932,-0.474017,9.841063,-1.903734,3.051080,13.292648,-5.123528,5.770754,0.961161
16,-0.685595,-0.194094,9.788701,-2.286455,2.981499,23.327591,-4.990492,5.778014,1.571498
17,-0.808330,-0.255585,9.895422,-2.819003,1.220581,35.362564,-4.895782,5.789068,2.549667
18,-0.890528,-0.506417,9.752308,-4.323565,-3.810395,47.888885,-4.912712,5.719133,3.937191
19,-1.443282,-0.477950,9.501713,-5.611447,-5.388201,58.698540,-4.968362,5.718846,5.713649
20,-1.512609,-0.775025,9.612222,-8.011727,-4.115580,65.961945,-5.166131,5.728149,7.791324
21,-1.391669,-0.965892,9.727591,-10.824008,-1.971654,70.686211,-5.489585,5.750482,10.068793
22,-1.248879,-0.972672,9.724247,-13.737000,1.370122,75.787384,-5.889590,5.817555,12.510020
23,-1.422470,-1.002707,9.800270,-16.781221,9.015009,80.177467,-6.370408,6.101923,15.109434
24,-1.098665,-1.200533,9.830580,-19.762878,12.666549,83.825958,-6.978633,6.456632,17.842825
25,-1.110466,-1.209987,9.442519,-20.972937,14.663985,89.470352,-7.639796,6.899204,20.731096
26,-1.478013,-1.396464,9.260945,-20.245071,17.476267,94.402145,-8.339178,7.511532,23.795639
27,-1.812622,-1.497228,9.131724,-17.670835,19.194458,96.822266,-8.988120,8.270720,26.982712
28,-1.833440,-1.414800,9.345736,-12.256851,18.371984,97.869049,-9.442985,9.000851,30.227568
29,-2.120125,-1.325690,9.773775,-6.049387,15.661941,98.509941,-9.646900,9.696239,33.500549
30,-2.534124,-1.147531,9.756807,-1.315966,14.491555,95.731232,-9.616570,10.412067,36.737904
31,-2.485725,-0.887683,9.833319,2.263855,13.148741,91.216011,-9.378648,11.035664,39.853691
32,-2.658625,-0.644683,9.871730,3.206877,12.521585,86.842712,-9.009917,11.642453,42.821335
33,-2.934940,-0.232872,9.760186,1.616863,11.160460,82.403793,-8.551384,12.271887,45.642109
34,-2.962323,0.150775,9.552291,-1.428885,9.837482,77.610863,-8.075624,12.852135,48.309021
35,-2.746262,0.313671,9.607034,-4.537195,5.667128,74.845886,-7.672803,13.252269,50.849968
36,-2.849097,0.368043,9.561822,-7.820987,1.672255,72.532585,-7.374620,13.534895,53.306274
37,-2.785910,0.502866,9.444510,-9.555964,-3.032173,67.822052,-7.128634,13.657260,55.645519
38,-2.707438,0.323795,9.273210,-10.585964,-5.728483,60.122231,-6.991126,13.649010,57.777924
39,-2.834503,-0.008442,9.148909,-11.026957,-6.142009,51.178783,-6.983774,13.639307,59.632942
40,-2.890784,-0.250616,9.058478,-10.715668,-4.550469,42.389450,-7.058082,13.672685,61.192413
41,-2.813878,-0.294232,9.238398,-9.458304,-2.388232,34.323410,-7.115808,13.725780,62.470963
42,-2.980850,-0.143080,9.832411,-6.636868,1.896566,27.725307,-7.014858,13.874898,63.505108
43,-3.349276,0.075086,10.663429,-1.459404,7.243410,23.690760,-6.792306,14.197699,64.362045
44,-3.560637,0.404947,11.087047,4.583261,12.497171,22.952213,-6.298641,14.690046,65.139427
45,-3.768754,0.734791,10.866089,9.815660,23.329716,25.708035,-5.562296,15.477201,65.950432
46,-4.103785,1.164283,10.186313,14.437689,39.622025,30.893129,-4.574143,16.790806,66.893784
47,-4.143240,1.678247,8.890717,16.226072,54.299900,41.785187,-3.325446,18.668589,68.105087
48,-3.875351,1.087091,7.567580,16.927999,64.885246,54.421371,-2.225500,20.966270,69.708527
49,-3.320043,0.541313,6.685433,13.751022,71.147644,60.663933,-1.397020,23.388556,71.626617
50,-3.199432,0.291840,6.776440,10.723586,65.370491,59.163948,-0.816353,25.643335,73.623749
51,-3.246090,-0.047153,7.020451,8.892475,43.842731,51.039921,-0.464947,27.331087,75.460480
52,-3.668222,-0.248755,7.506741,6.797379,22.313450,35.592979,-0.288175,28.313526,76.904358
53,-4.066389,0.698753,8.053827,1.857958,5.090328,17.307814,0.111206,28.666889,77.786041
54,-4.560884,1.350160,8.714118,0.637218,-7.463461,1.638086,0.585520,28.563412,78.101807
55,-5.068789,1.777940,9.409106,-0.008248,-13.425251,-11.481822,1.101223,28.199215,77.937744
