seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
6116,-0.153032,-0.664929,9.890185,-0.642757,-0.313243,-0.124030,-3.846276,0.884478,-0.059462,0.999407,-0.033554,0.007732,-0.000260
6117,-0.155090,-0.739439,9.867806,-0.447733,-0.261352,-0.096567,-3.877542,0.879702,-0.064710,0.999398,-0.033826,0.007691,-0.000305
6118,-0.152396,-0.760684,9.868025,-0.253060,-0.116377,-0.259851,-3.937783,0.873812,-0.070955,0.999381,-0.034351,0.007642,-0.000357
6119,-0.162695,-0.746090,9.852620,-0.011054,0.059152,-0.362094,-3.988497,0.875746,-0.081939,0.999365,-0.034793,0.007663,-0.000449
6120,-0.157967,-0.738801,9.867149,0.371497,0.291166,-0.365147,-4.016991,0.886147,-0.094965,0.999356,-0.035040,0.007757,-0.000557
6121,-0.161272,-0.732356,9.882619,0.561894,0.463652,-0.433815,-4.027391,0.902018,-0.109529,0.999351,-0.035130,0.007900,-0.000679
6122,-0.174093,-0.697985,9.856157,0.715849,0.262332,-0.291900,-4.018529,0.920920,-0.122633,0.999353,-0.035051,0.008069,-0.000788
6123,-0.175377,-0.682248,9.863448,1.098882,-0.016777,0.185725,-3.986399,0.935014,-0.124649,0.999361,-0.034771,0.008192,-0.000803
6124,-0.161354,-0.665914,9.864267,1.659021,-0.593514,0.620620,-3.930902,0.930560,-0.110380,0.999379,-0.034288,0.008149,-0.000684
6125,-0.153291,-0.666179,9.887912,1.575229,-0.912461,0.739643,-3.866564,0.904841,-0.085886,0.999400,-0.033729,0.007917,-0.000483
6126,-0.144044,-0.664452,9.876387,1.433381,-1.109384,0.519905,-3.811351,0.866849,-0.062609,0.999418,-0.033249,0.007579,-0.000294
6127,-0.138688,-0.679416,9.885676,1.468409,-1.307844,0.190298,-3.767905,0.820626,-0.048215,0.999434,-0.032871,0.007171,-0.000185
6128,-0.134329,-0.675830,9.870443,1.492645,-1.553590,-0.311739,-3.732004,0.767518,-0.047315,0.999447,-0.032559,0.006708,-0.000195
