seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
1161,6.928518,-6.826195,-0.370379,-0.062906,-0.117924,0.042296,-93.105759,-45.384129,94.358902,-0.636674,0.260684,0.671618,-0.274991
1163,6.927035,-6.818871,-0.428980,-0.064514,-0.134791,0.037710,-93.133202,-45.383305,94.372025,-0.636578,0.260764,0.671712,-0.274908
1164,6.922547,-6.827602,-0.433502,-0.035684,-0.115120,0.048393,-93.172134,-45.380531,94.401413,-0.636411,0.260824,0.671867,-0.274859
1165,6.923085,-6.827791,-0.428912,-0.009897,-0.086283,0.046887,-93.206963,-45.375980,94.427963,-0.636256,0.260887,0.672002,-0.274828
1166,6.922884,-6.824634,-0.426271,-0.005448,-0.087942,0.046900,-93.236389,-45.372215,94.450699,-0.636124,0.260939,0.672117,-0.274803
1167,6.924580,-6.818541,-0.425169,-0.011666,-0.085006,0.036214,-93.262817,-45.370434,94.471260,-0.636010,0.260975,0.672223,-0.274772
1168,6.925467,-6.817794,-0.420816,0.001968,-0.080527,0.049929,-93.285698,-45.370140,94.489319,-0.635913,0.260998,0.672319,-0.274740
1170,6.924996,-6.818385,-0.420824,0.024773,-0.069931,0.059064,-93.304855,-45.369663,94.504944,-0.635831,0.261015,0.672399,-0.274717
1171,6.929200,-6.812702,-0.418590,0.036905,-0.070006,0.060559,-93.321297,-45.370277,94.518936,-0.635762,0.261021,0.672472,-0.274694
1172,6.922291,-6.811236,-0.423178,0.044461,-0.062448,0.049840,-93.336876,-45.371647,94.532463,-0.635697,0.261020,0.672543,-0.274670
1173,6.920929,-6.816386,-0.423432,0.048966,-0.060996,0.069657,-93.352333,-45.371128,94.545929,-0.635628,0.261030,0.672609,-0.274657
1174,6.920443,-6.816391,-0.422959,0.061105,-0.067169,0.072698,-93.366386,-45.369209,94.558647,-0.635561,0.261044,0.672668,-0.274656
1175,6.919638,-6.816016,-0.417190,0.045790,-0.071802,0.057430,-93.377968,-45.367496,94.569687,-0.635503,0.261053,0.672718,-0.274659
1177,6.918447,-6.813038,-0.420713,0.025904,-0.082531,0.043684,-93.389000,-45.366577,94.580124,-0.635451,0.261058,0.672766,-0.274657
1178,6.926394,-6.820996,-0.415249,0.006028,-0.085624,0.040617,-93.399559,-45.366272,94.589920,-0.635402,0.261061,0.672813,-0.274651
1179,6.929395,-6.820017,-0.416522,0.002944,-0.087180,0.016182,-93.408592,-45.367020,94.598442,-0.635363,0.261057,0.672856,-0.274641
1180,6.926228,-6.821152,-0.420313,-0.010825,-0.085689,0.023793,-93.418694,-45.367943,94.607521,-0.635321,0.261054,0.672903,-0.274627
1181,6.921551,-6.818350,-0.423056,-0.010866,-0.088782,0.031412,-93.430244,-45.367657,94.617485,-0.635270,0.261062,0.672952,-0.274616
1182,6.917043,-6.831694,-0.421541,-0.013955,-0.091874,0.036007,-93.441383,-45.364395,94.627190,-0.635212,0.261085,0.672995,-0.274623
1184,6.914754,-6.834682,-0.426276,-0.020097,-0.096492,0.040633,-93.452667,-45.357841,94.636955,-0.635145,0.261128,0.673031,-0.274648
1185,6.911911,-6.841108,-0.422216,-0.029287,-0.096530,0.040698,-93.463539,-45.349499,94.646301,-0.635075,0.261181,0.673063,-0.274683
1186,6.912559,-6.836553,-0.421732,-0.033888,-0.093508,0.025506,-93.472572,-45.341400,94.654152,-0.635014,0.261231,0.673086,-0.274720
1187,6.917590,-6.838768,-0.419226,-0.027801,-0.084372,0.027082,-93.479935,-45.335209,94.660698,-0.634964,0.261269,0.673107,-0.274748
1188,6.923229,-6.831900,-0.417933,-0.021707,-0.073700,0.025581,-93.485237,-45.331669,94.665695,-0.634930,0.261289,0.673124,-0.274764
1189,6.926191,-6.826450,-0.412468,-0.023232,-0.066070,0.022521,-93.488060,-45.331512,94.668762,-0.634916,0.261287,0.673138,-0.274766
1191,6.929250,-6.817465,-0.417374,-0.020177,-0.067592,0.040794,-93.490555,-45.334072,94.671547,-0.634911,0.261270,0.673155,-0.274752
1192,6.931144,-6.821176,-0.420465,-0.018660,-0.061493,0.046848,-93.495010,-45.337498,94.675697,-0.634900,0.261251,0.673182,-0.274729
1193,6.932823,-6.814265,-0.418883,-0.036981,-0.066077,0.036108,-93.499985,-45.341728,94.680008,-0.634890,0.261229,0.673212,-0.274700
1194,6.930976,-6.812949,-0.425307,-0.046152,-0.070667,0.045197,-93.506752,-45.346821,94.685379,-0.634876,0.261206,0.673250,-0.274661
1195,6.929480,-6.813702,-0.428948,-0.035499,-0.075270,0.049716,-93.516052,-45.350887,94.692673,-0.634848,0.261191,0.673297,-0.274624
1196,6.927810,-6.818130,-0.425112,-0.040100,-0.061557,0.045093,-93.524422,-45.353504,94.699257,-0.634821,0.261184,0.673337,-0.274596
1198,6.924283,-6.812793,-0.418318,-0.032477,-0.070718,0.049634,-93.529114,-45.355400,94.703224,-0.634806,0.261176,0.673361,-0.274580
1199,6.925559,-6.816391,-0.420215,-0.034001,-0.079869,0.048074,-93.532257,-45.357056,94.706360,-0.634795,0.261165,0.673379,-0.274569
1200,6.926455,-6.815649,-0.416465,-0.038573,-0.076809,0.054147,-93.534767,-45.358433,94.709038,-0.634787,0.261156,0.673394,-0.274562
1201,6.921402,-6.814232,-0.416560,-0.053821,-0.082899,0.055643,-93.536484,-45.359329,94.710953,-0.634781,0.261149,0.673404,-0.274557
1202,6.924143,-6.809896,-0.419773,-0.069072,-0.092045,0.052560,-93.539825,-45.360615,94.713837,-0.634770,0.261143,0.673421,-0.274546
1203,6.928608,-6.817863,-0.422446,-0.085857,-0.085939,0.044894,-93.545219,-45.362461,94.717842,-0.634753,0.261139,0.673446,-0.274526
1205,6.927578,-6.817329,-0.426443,-0.072130,-0.078313,0.049442,-93.551826,-45.363617,94.722527,-0.634730,0.261141,0.673475,-0.274507
1206,6.927451,-6.824207,-0.427515,-0.078245,-0.092057,0.034165,-93.559357,-45.363773,94.728035,-0.634700,0.261150,0.673506,-0.274492
1207,6.933010,-6.826898,-0.428011,-0.079780,-0.095118,0.026524,-93.567123,-45.363647,94.733826,-0.634668,0.261159,0.673538,-0.274479
1208,6.932123,-6.829780,-0.421754,-0.064520,-0.104272,0.023462,-93.572655,-45.363609,94.738350,-0.634645,0.261164,0.673561,-0.274472
1209,6.931732,-6.830987,-0.426820,-0.055360,-0.105793,0.028038,-93.577110,-45.362797,94.742516,-0.634622,0.261169,0.673580,-0.274474
1210,6.928629,-6.829027,-0.421216,-0.059930,-0.098156,0.032617,-93.580902,-45.361500,94.746185,-0.634601,0.261175,0.673595,-0.274479
1212,6.924057,-6.821301,-0.419268,-0.046179,-0.088982,0.043296,-93.582031,-45.360390,94.747856,-0.634592,0.261178,0.673599,-0.274488
1213,6.926395,-6.816428,-0.411402,-0.035465,-0.081319,0.044804,-93.579781,-45.360710,94.747215,-0.634599,0.261168,0.673593,-0.274496
1214,6.930216,-6.812189,-0.414596,-0.029325,-0.081279,0.046291,-93.576004,-45.363178,94.745598,-0.634619,0.261142,0.673585,-0.274495
1215,6.930770,-6.815392,-0.408192,-0.015551,-0.079709,0.043193,-93.571198,-45.366360,94.743462,-0.634643,0.261110,0.673575,-0.274493
1216,6.933687,-6.809055,-0.408876,-0.006349,-0.088815,0.038563,-93.564888,-45.370434,94.740623,-0.634676,0.261068,0.673561,-0.274492
